0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
14641920.000 14641920.000 14641920.000 14630400.000 14630400.000 14630400.000 14630400.000 14630400.000 14630400.000 14630400.000 14630400.000 14630400.000 14630400.000 14630400.000 14630400.000 14630400.000 12430080.000 9642240.000 7269120.000 7269120.000 7269120.000 7269120.000 7269120.000 7269120.000 7269120.000 7269120.000 7269120.000 7269120.000 7269120.000 7269120.000 7269120.000 7269120.000 7269120.000 7269120.000 7269120.000 7269120.000 387037440.000
43441920.000 43464960.000 43464960.000 43499520.000 39813120.000 39813120.000 39813120.000 39156480.000 35366400.000 34352640.000 32578560.000 32520960.000 32520960.000 32544000.000 31438080.000 12729600.000 31703040.000 29617920.000 20010240.000 21058560.000 21058560.000 21058560.000 21058560.000 21058560.000 21058560.000 21058560.000 21058560.000 21058560.000 21058560.000 21058560.000 21058560.000 21058560.000 21058560.000 21058560.000 21058560.000 21058560.000 1015845120.000
47589120.000 47589120.000 47589120.000 47589120.000 38108160.000 38119680.000 38131200.000 28765440.000 30723840.000 31357440.000 31219200.000 31276800.000 31276800.000 28477440.000 30424320.000 322560.000 32532480.000 37647360.000 19272960.000 19445760.000 19445760.000 19445760.000 19445760.000 19445760.000 19457280.000 19457280.000 19457280.000 19457280.000 19457280.000 19457280.000 19457280.000 19457280.000 19457280.000 19457280.000 19468800.000 19468800.000 968751360.000
50284800.000 50284800.000 50284800.000 50284800.000 38580480.000 38580480.000 38580480.000 27072000.000 25251840.000 23385600.000 22717440.000 22717440.000 22717440.000 25539840.000 25608960.000 24007680.000 35193600.000 41725440.000 20977920.000 20413440.000 21116160.000 20724480.000 21185280.000 21185280.000 20632320.000 19860480.000 19791360.000 19860480.000 19860480.000 19860480.000 19860480.000 19860480.000 19918080.000 19918080.000 19860480.000 19860480.000 977564160.000
51897600.000 51909120.000 51909120.000 51920640.000 36218880.000 36218880.000 36218880.000 25632000.000 27014400.000 28892160.000 29376000.000 29376000.000 29376000.000 28753920.000 29145600.000 12176640.000 31127040.000 36967680.000 18720000.000 18927360.000 18927360.000 18858240.000 18927360.000 18927360.000 18846720.000 18789120.000 18731520.000 18881280.000 18881280.000 18881280.000 18881280.000 18881280.000 18950400.000 18950400.000 18881280.000 18881280.000 963855360.000
56021760.000 56021760.000 56021760.000 56021760.000 38338560.000 38350080.000 35700480.000 22798080.000 22383360.000 22383360.000 22314240.000 22314240.000 22314240.000 22936320.000 22141440.000 13651200.000 33096960.000 39248640.000 20021760.000 20194560.000 20194560.000 20125440.000 20194560.000 20194560.000 20136960.000 20067840.000 19998720.000 20056320.000 20056320.000 20056320.000 20056320.000 20056320.000 20136960.000 20136960.000 20056320.000 20056320.000 963855360.000
47531520.000 47531520.000 47531520.000 47531520.000 33062400.000 33062400.000 35712000.000 27751680.000 27786240.000 27809280.000 27694080.000 27694080.000 27694080.000 27694080.000 27486720.000 14549760.000 34433280.000 40826880.000 20805120.000 20954880.000 20954880.000 20885760.000 20954880.000 20954880.000 20885760.000 20816640.000 20747520.000 20770560.000 20770560.000 20770560.000 20770560.000 19284480.000 18259200.000 17326080.000 17280000.000 17280000.000 963855360.000
57358080.000 57358080.000 57358080.000 57358080.000 40469760.000 40469760.000 40469760.000 28558080.000 28350720.000 28350720.000 25770240.000 24088320.000 23489280.000 23489280.000 23316480.000 12476160.000 29283840.000 34755840.000 17602560.000 17717760.000 17717760.000 17660160.000 17717760.000 17717760.000 17660160.000 17602560.000 17544960.000 17498880.000 17498880.000 17498880.000 17498880.000 18984960.000 20125440.000 21058560.000 20989440.000 20989440.000 963855360.000
48049920.000 48049920.000 48049920.000 48049920.000 34053120.000 34053120.000 34053120.000 23904000.000 23731200.000 23731200.000 26058240.000 27740160.000 28339200.000 28339200.000 28131840.000 15068160.000 35412480.000 42128640.000 21150720.000 21288960.000 21288960.000 21219840.000 21288960.000 21288960.000 21219840.000 21150720.000 21081600.000 21012480.000 21012480.000 21012480.000 21012480.000 20021760.000 18512640.000 18328320.000 17510400.000 17510400.000 963855360.000
58510080.000 58510080.000 58510080.000 58533120.000 40919040.000 40919040.000 40919040.000 28684800.000 27751680.000 24837120.000 23996160.000 23616000.000 23616000.000 23616000.000 23443200.000 12556800.000 29548800.000 35193600.000 17625600.000 17740800.000 17740800.000 17683200.000 17740800.000 17740800.000 17683200.000 17625600.000 17568000.000 17510400.000 17510400.000 17510400.000 17510400.000 18501120.000 20136960.000 20321280.000 21012480.000 21012480.000 963855360.000
51966720.000 51978240.000 51978240.000 51978240.000 34099200.000 34099200.000 34099200.000 23927040.000 24480000.000 27394560.000 27982080.000 28362240.000 28362240.000 28362240.000 28154880.000 15114240.000 35458560.000 42232320.000 21254400.000 21415680.000 21415680.000 21346560.000 21415680.000 20897280.000 19998720.000 19699200.000 17648640.000 17614080.000 17625600.000 17625600.000 17625600.000 17625600.000 17683200.000 17683200.000 17625600.000 17625600.000 963855360.000
57772800.000 56724480.000 56482560.000 56494080.000 34145280.000 34145280.000 34145280.000 24134400.000 23961600.000 23961600.000 23857920.000 23857920.000 23857920.000 23857920.000 23685120.000 12867840.000 29652480.000 35239680.000 18063360.000 18213120.000 18213120.000 18155520.000 18213120.000 18731520.000 19503360.000 19676160.000 21600000.000 21611520.000 21611520.000 21611520.000 21611520.000 21611520.000 21680640.000 21680640.000 21611520.000 21611520.000 963855360.000
60203520.000 61159680.000 61021440.000 61032960.000 34421760.000 34421760.000 34421760.000 24618240.000 24445440.000 24456960.000 24341760.000 24341760.000 24341760.000 24341760.000 24168960.000 13455360.000 30021120.000 35493120.000 18766080.000 18904320.000 18904320.000 18846720.000 18915840.000 18915840.000 18858240.000 18812160.000 18754560.000 16980480.000 15010560.000 14987520.000 14987520.000 14987520.000 15033600.000 15045120.000 14999040.000 14999040.000 927417600.000
