nan nan
0.940 0.933
0.936 0.939
0.939 0.940
0.940 0.938
0.946 0.947
0.164 0.222
0.081 0.081
0.071 0.072
0.069 0.064
0.066 0.072
0.072 0.064
0.063 0.072
0.072 0.065
0.063 0.070
0.072 0.065
0.063 0.069
0.072 0.065
0.063 0.070
0.072 0.064
0.064 0.072
0.068 0.063
0.067 0.070
0.064 0.065
0.072 0.064
0.074 0.075
0.088 0.090
0.076 0.080
0.075 0.075
0.077 0.076
0.077 0.075
0.075 0.078
0.075 0.077
0.076 0.075
0.076 0.076
0.076 0.075
0.076 0.076
0.076 0.076
0.081 0.079
0.083 0.082
0.080 0.079
0.074 0.078
0.079 0.079
0.073 0.074
0.080 0.074
0.072 0.079
0.074 0.072
0.080 0.075
0.073 0.080
0.073 0.073
0.075 0.073
0.074 0.073
0.072 0.073
0.072 0.073
0.068 0.064
0.069 0.067
0.065 0.074
0.071 0.071
0.068 0.065
0.071 0.068
0.065 0.067
0.065 0.065
0.065 0.068
0.063 0.063
0.059 0.061
0.062 0.064
0.057 0.058
0.064 0.058
0.059 0.064
0.058 0.059
0.060 0.058
0.064 0.059
0.060 0.063
0.059 0.062
0.059 0.059
0.060 0.058
0.058 0.054
0.054 0.060
0.053 0.053
0.057 0.057
0.051 0.052
0.053 0.050
0.048 0.049
0.047 0.050
0.050 0.046
0.045 0.050
0.046 0.046
0.049 0.046
0.048 0.049
0.046 0.048
0.046 0.046
0.047 0.047
0.050 0.047
0.048 0.048
0.047 0.048
0.048 0.053
0.052 0.053
0.053 0.053
0.048 0.048
