-nan -nan
0.884 0.883
0.780 0.779
0.262 0.269
0.790 0.790
0.861 0.864
0.868 0.845
0.404 0.380
0.752 0.735
0.773 0.786
0.590 0.604
0.481 0.479
0.576 0.563
0.586 0.566
0.847 0.841
0.248 0.250
0.795 0.793
0.669 0.679
0.587 0.590
0.808 0.805
0.913 0.895
0.470 0.497
0.583 0.572
0.928 0.931
0.254 0.275
0.348 0.340
0.155 0.173
0.767 0.717
0.736 0.739
0.544 0.533
0.929 0.930
0.221 0.245
0.449 0.437
0.895 0.872
0.794 0.612
0.690 0.673
0.700 0.702
0.331 0.348
0.824 0.826
0.688 0.711
0.435 0.438
0.839 0.859
0.509 0.550
0.342 0.326
0.571 0.601
0.479 0.474
0.808 0.810
0.756 0.765
0.336 0.339
0.875 0.868
0.846 0.809
0.409 0.369
0.838 0.831
0.639 0.650
0.510 0.489
0.930 0.916
0.357 0.338
0.851 0.857
0.603 0.612
0.736 0.748
0.366 0.347
0.877 0.859
0.410 0.404
0.796 0.766
0.615 0.613
0.745 0.740
0.747 0.754
0.693 0.685
0.874 0.893
0.305 0.288
0.885 0.874
0.517 0.525
0.886 0.885
0.702 0.727
0.717 0.718
0.830 0.819
0.575 0.573
0.818 0.813
0.666 0.660
0.626 0.626
0.632 0.632
0.653 0.660
0.836 0.812
0.483 0.515
0.438 0.409
0.489 0.508
0.408 0.402
0.724 0.723
0.407 0.395
0.850 0.844
0.349 0.355
0.848 0.838
0.473 0.493
0.774 0.777
0.377 0.374
0.819 0.821
0.466 0.438
0.889 0.884
0.352 0.362
