-nan -nan
0.884 0.883
0.817 0.801
0.648 0.657
0.886 0.896
0.930 0.922
0.939 0.912
0.844 0.852
0.569 0.576
0.812 0.803
0.947 0.939
0.849 0.830
0.971 0.972
0.976 0.967
0.956 0.958
0.921 0.929
0.689 0.693
0.652 0.667
0.901 0.896
0.841 0.860
0.890 0.884
0.779 0.777
0.878 0.873
0.688 0.699
0.837 0.830
0.643 0.675
0.620 0.616
0.900 0.897
0.936 0.933
0.804 0.781
0.847 0.873
0.917 0.914
0.765 0.770
0.826 0.826
0.885 0.885
0.908 0.919
0.891 0.888
0.949 0.945
0.949 0.947
0.925 0.919
0.821 0.815
0.820 0.825
0.717 0.714
0.870 0.870
0.939 0.937
0.940 0.944
0.901 0.896
0.903 0.903
0.936 0.929
0.965 0.971
0.894 0.902
0.248 0.242
0.711 0.713
0.831 0.817
0.924 0.928
0.949 0.942
0.913 0.913
0.948 0.934
0.772 0.789
0.632 0.632
0.815 0.803
0.878 0.890
0.756 0.755
0.724 0.735
0.610 0.608
0.884 0.877
0.937 0.914
0.951 0.973
0.745 0.725
0.763 0.802
0.487 0.498
0.805 0.789
0.895 0.900
0.905 0.856
0.929 0.959
0.774 0.778
0.915 0.902
0.750 0.757
0.804 0.811
0.889 0.898
0.565 0.571
0.829 0.837
0.909 0.907
0.699 0.715
0.643 0.629
0.795 0.794
0.956 0.955
0.977 0.977
0.829 0.822
0.847 0.856
0.423 0.433
0.736 0.738
0.915 0.908
0.935 0.931
0.936 0.942
0.913 0.913
0.742 0.736
0.782 0.784
0.922 0.920
