nan nan
0.199 0.199
0.434 0.434
0.860 0.860
0.937 0.937
0.953 0.953
0.961 0.961
0.961 0.961
0.961 0.961
0.990 0.990
0.849 0.706
0.978 0.983
0.987 0.987
0.997 0.997
1.000 0.761
0.971 0.972
0.969 0.969
0.979 0.979
0.993 0.975
nan 0.879
0.724 0.756
0.387 0.389
0.345 0.332
0.213 0.114
0.876 0.870
0.792 0.792
0.975 0.975
0.961 0.862
0.980 0.980
0.978 0.978
0.990 0.990
0.985 0.994
0.349 0.980
0.987 0.987
0.978 0.978
0.985 0.985
0.895 0.774
0.983 0.989
0.825 0.852
0.367 0.356
0.160 0.150
0.359 0.356
0.889 0.889
0.850 0.850
0.424 0.408
0.826 0.837
0.984 0.984
0.793 0.793
0.386 0.381
0.310 0.320
0.813 0.752
0.493 0.483
0.477 0.449
0.491 0.603
0.971 0.937
0.461 0.461
0.848 0.848
0.305 0.280
0.835 0.876
0.578 0.564
0.713 0.694
0.491 0.400
0.508 0.559
0.719 0.704
0.579 0.577
0.450 0.400
0.205 0.263
0.549 0.549
0.602 0.602
0.355 0.337
0.758 0.846
0.749 0.749
0.948 0.947
0.697 0.770
0.307 0.310
0.535 0.535
0.784 0.780
0.842 0.834
0.772 0.772
0.950 0.938
0.973 0.964
0.465 0.463
0.861 0.836
0.959 0.957
0.491 0.479
0.737 0.683
0.928 0.909
0.756 0.716
0.641 0.558
0.720 0.745
0.895 0.803
0.874 0.848
0.310 0.301
0.676 0.840
0.484 0.484
0.864 0.864
0.938 0.959
0.867 0.916
0.938 0.938
