0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
806400.000 806400.000 806400.000 806400.000 691200.000 529920.000 345600.000 668160.000 18604800.000 14618880.000 21300480.000 11243520.000 6336000.000 6151680.000 6071040.000 5736960.000 5621760.000 5621760.000 20355840.000 7338240.000 6923520.000 5794560.000 147179520.000
172800.000 172800.000 126720.000 80640.000 115200.000 80640.000 633600.000 80640.000 138240.000 299520.000 20367360.000 15344640.000 9722880.000 8812800.000 9573120.000 9285120.000 9158400.000 7787520.000 34560.000 1082880.000 14768640.000 3513600.000 111352320.000
1013760.000 1969920.000 1221120.000 1105920.000 645120.000 783360.000 483840.000 645120.000 34352640.000 48211200.000 20759040.000 13616640.000 9239040.000 7407360.000 9169920.000 9204480.000 8881920.000 7269120.000 864000.000 30504960.000 36195840.000 22625280.000 266169600.000
80640.000 2695680.000 529920.000 979200.000 80640.000 299520.000 34560.000 34560.000 725760.000 67276800.000 17095680.000 14964480.000 10160640.000 7971840.000 10022400.000 10160640.000 10448640.000 9020160.000 1082880.000 37923840.000 30723840.000 19860480.000 252172800.000
207360.000 1532160.000 311040.000 610560.000 610560.000 552960.000 645120.000 2972160.000 44985600.000 45964800.000 12948480.000 13294080.000 11393280.000 9377280.000 10805760.000 10748160.000 10748160.000 9895680.000 1981440.000 46782720.000 34824960.000 2764800.000 273957120.000
1002240.000 1566720.000 691200.000 1555200.000 748800.000 1451520.000 1428480.000 2361600.000 39536640.000 41829120.000 15287040.000 11669760.000 10828800.000 9722880.000 10183680.000 9768960.000 9711360.000 8870400.000 9676800.000 33649920.000 30781440.000 15091200.000 267413760.000
1474560.000 2373120.000 1578240.000 2430720.000 1486080.000 2350080.000 2396160.000 3456000.000 39110400.000 36414720.000 15010560.000 9158400.000 9780480.000 8697600.000 9768960.000 9469440.000 8962560.000 7902720.000 20263680.000 16542720.000 22579200.000 17280000.000 248486400.000
2488320.000 3110400.000 2165760.000 2903040.000 2465280.000 2810880.000 2903040.000 3824640.000 37128960.000 33062400.000 12268800.000 8962560.000 9192960.000 8363520.000 8651520.000 9100800.000 9181440.000 7822080.000 17648640.000 16588800.000 19445760.000 18063360.000 238152960.000
2995200.000 3974400.000 3271680.000 4147200.000 2914560.000 3951360.000 4135680.000 5184000.000 21461760.000 36207360.000 10702080.000 7810560.000 8651520.000 7960320.000 7868160.000 7822080.000 7568640.000 7096320.000 13605120.000 14618880.000 14065920.000 15747840.000 211760640.000
