-nan -nan
0.645 0.602
0.207 0.215
0.178 0.201
0.162 0.150
0.134 0.148
0.130 0.126
0.128 0.132
0.122 0.114
0.116 0.113
0.113 0.114
0.110 0.112
0.109 0.110
0.108 0.108
0.106 0.106
0.103 0.103
0.101 0.104
0.099 0.104
0.099 0.099
0.099 0.099
0.098 0.098
0.098 0.098
0.098 0.098
0.098 0.098
0.098 0.098
0.098 0.098
0.098 0.098
0.098 0.093
0.098 0.096
0.091 0.098
0.097 0.097
0.097 0.095
0.096 0.093
0.091 0.097
0.097 0.096
0.094 0.091
0.092 0.096
0.096 0.090
0.090 0.096
0.096 0.091
0.090 0.094
0.095 0.089
0.089 0.095
0.095 0.089
0.089 0.095
0.089 0.089
0.095 0.089
0.088 0.094
0.088 0.088
0.092 0.088
0.090 0.089
0.088 0.093
0.088 0.088
0.088 0.088
0.088 0.088
0.091 0.088
0.089 0.087
0.087 0.087
0.087 0.087
0.086 0.088
0.086 0.087
0.086 0.086
0.086 0.085
0.086 0.085
0.086 0.086
0.083 0.085
0.082 0.085
0.085 0.085
0.085 0.085
0.084 0.084
0.084 0.080
0.083 0.083
0.080 0.083
0.083 0.083
0.083 0.082
0.082 0.081
0.081 0.083
0.083 0.083
0.080 0.079
0.081 0.083
0.082 0.078
0.078 0.082
0.082 0.082
0.078 0.078
0.081 0.081
0.079 0.077
0.078 0.081
0.079 0.077
0.079 0.081
0.077 0.077
0.081 0.078
0.077 0.079
0.079 0.077
0.078 0.080
0.076 0.076
0.078 0.076
0.078 0.078
0.076 0.077
0.076 0.076
