0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
12003840.000 11946240.000 11946240.000 11946240.000 11946240.000 11946240.000 12464640.000 11980800.000 11980800.000 11992320.000 11969280.000 11969280.000 11992320.000 11992320.000 12522240.000 11992320.000 11854080.000 12026880.000 12026880.000 12372480.000 12026880.000 12026880.000 12049920.000 12049920.000 12591360.000 12049920.000 12602880.000 12084480.000 12084480.000 12648960.000 12049920.000 12660480.000 12107520.000 12096000.000 12245760.000 12096000.000 11473920.000 12683520.000 12142080.000 12165120.000 12729600.000 12142080.000 13363200.000 11727360.000 13397760.000 12787200.000 13409280.000 11946240.000 11877120.000 13443840.000 11923200.000 12833280.000 13455360.000 11946240.000 11093760.000 13489920.000 13489920.000 12856320.000 13501440.000 13501440.000 13536000.000 13536000.000 11566080.000 13547520.000 9815040.000 13547520.000 12925440.000 13582080.000 13593600.000 13593600.000 13628160.000 11704320.000 13628160.000 13639680.000 13639680.000 13674240.000 13674240.000 13674240.000 13685760.000 13685760.000 13720320.000 13720320.000 13731840.000 13731840.000 13766400.000 13766400.000 13777920.000 13777920.000 13812480.000 13812480.000 13824000.000 13824000.000 11358720.000 13858560.000 13858560.000 13870080.000 11750400.000 11842560.000 13904640.000 13916160.000 13916160.000 13950720.000 13950720.000 13985280.000 13985280.000 14019840.000 14019840.000 11381760.000 14054400.000 11819520.000 14054400.000 14088960.000 14088960.000 14123520.000 14123520.000 14158080.000 14158080.000 14192640.000 14227200.000 14227200.000 14261760.000 14261760.000 14296320.000 14296320.000 14330880.000 14330880.000 14365440.000 14365440.000 64039680.000 79695360.000 79695360.000 64051200.000 64062720.000 64074240.000 64074240.000 64085760.000 2208038400.000
21565440.000 21438720.000 21438720.000 21438720.000 21438720.000 21438720.000 21473280.000 21507840.000 21507840.000 21496320.000 21496320.000 21496320.000 21565440.000 21565440.000 21600000.000 21553920.000 21600000.000 21611520.000 21611520.000 21669120.000 21611520.000 21611520.000 21680640.000 21680640.000 21715200.000 21680640.000 21715200.000 21726720.000 21726720.000 21761280.000 21415680.000 21761280.000 21795840.000 21795840.000 21369600.000 21795840.000 19434240.000 21830400.000 21841920.000 21196800.000 21876480.000 21841920.000 21922560.000 21024000.000 21957120.000 21934080.000 21957120.000 20943360.000 20874240.000 22037760.000 21392640.000 21980160.000 22037760.000 21438720.000 19296000.000 22072320.000 22072320.000 22060800.000 22072320.000 22072320.000 22164480.000 22164480.000 19676160.000 22164480.000 18812160.000 22164480.000 22176000.000 22187520.000 22187520.000 22187520.000 22291200.000 20033280.000 22291200.000 22291200.000 22291200.000 22302720.000 22302720.000 22302720.000 22302720.000 22302720.000 22406400.000 22406400.000 22406400.000 22406400.000 22429440.000 22429440.000 22417920.000 22417920.000 22521600.000 22521600.000 22521600.000 22521600.000 18973440.000 22544640.000 22544640.000 22544640.000 20171520.000 20793600.000 22636800.000 22636800.000 22636800.000 22659840.000 22659840.000 22752000.000 22752000.000 22775040.000 22775040.000 19883520.000 22867200.000 20689920.000 22867200.000 22890240.000 22890240.000 22982400.000 22982400.000 23016960.000 23016960.000 23097600.000 23143680.000 23143680.000 23212800.000 23212800.000 23270400.000 23270400.000 23328000.000 23328000.000 23408640.000 23408640.000 179009280.000 178329600.000 178214400.000 178894080.000 178882560.000 178882560.000 178871040.000 178859520.000 4242240000.000
22636800.000 22521600.000 22521600.000 22521600.000 22521600.000 22521600.000 22521600.000 22567680.000 22567680.000 22556160.000 22556160.000 22556160.000 22636800.000 22636800.000 22636800.000 22636800.000 22636800.000 22682880.000 22682880.000 22752000.000 22682880.000 22682880.000 22752000.000 22752000.000 22752000.000 22752000.000 22752000.000 22821120.000 22821120.000 22867200.000 22487040.000 22867200.000 22867200.000 22867200.000 22406400.000 22867200.000 20551680.000 22878720.000 22970880.000 22279680.000 22982400.000 22959360.000 22982400.000 22060800.000 23097600.000 22982400.000 23097600.000 21968640.000 21934080.000 23097600.000 22440960.000 23097600.000 23097600.000 22521600.000 20424960.000 23212800.000 23212800.000 23109120.000 23212800.000 23212800.000 23212800.000 23212800.000 20782080.000 23212800.000 19872000.000 23212800.000 23235840.000 23328000.000 23328000.000 23328000.000 23328000.000 21116160.000 23328000.000 23328000.000 23328000.000 23431680.000 23431680.000 23431680.000 23431680.000 23431680.000 23466240.000 23466240.000 23454720.000 23454720.000 23546880.000 23546880.000 23546880.000 23546880.000 23616000.000 23616000.000 23616000.000 23616000.000 20102400.000 23650560.000 23650560.000 23650560.000 21231360.000 21853440.000 23731200.000 23731200.000 23731200.000 23765760.000 23765760.000 23834880.000 23834880.000 23869440.000 23869440.000 20989440.000 23950080.000 21749760.000 23950080.000 23984640.000 23984640.000 24053760.000 24053760.000 24088320.000 24088320.000 24157440.000 24203520.000 24203520.000 24272640.000 24272640.000 24307200.000 24307200.000 24364800.000 24364800.000 24422400.000 24422400.000 181889280.000 181509120.000 181451520.000 181877760.000 181877760.000 181877760.000 181866240.000 181877760.000 4404752640.000
23742720.000 23627520.000 23627520.000 23627520.000 23627520.000 23627520.000 23639040.000 23662080.000 23662080.000 23662080.000 23662080.000 23662080.000 23731200.000 23731200.000 23754240.000 23731200.000 23754240.000 23777280.000 23777280.000 23846400.000 23777280.000 23777280.000 23846400.000 23846400.000 23869440.000 23846400.000 23869440.000 23892480.000 23892480.000 23938560.000 23558400.000 23938560.000 23961600.000 23961600.000 23535360.000 23961600.000 21600000.000 23973120.000 23996160.000 23328000.000 24053760.000 23996160.000 24065280.000 23201280.000 24122880.000 24076800.000 24122880.000 23097600.000 22982400.000 24180480.000 23546880.000 24134400.000 24180480.000 23627520.000 21461760.000 24226560.000 24226560.000 24192000.000 24226560.000 24226560.000 24295680.000 24295680.000 21830400.000 24295680.000 20966400.000 24295680.000 24307200.000 24341760.000 24341760.000 24341760.000 24399360.000 22176000.000 24399360.000 24399360.000 24399360.000 24456960.000 24456960.000 24456960.000 24456960.000 24456960.000 24514560.000 24514560.000 24514560.000 24514560.000 24560640.000 24560640.000 24560640.000 24560640.000 24629760.000 24629760.000 24629760.000 24629760.000 21150720.000 24675840.000 24675840.000 24675840.000 22291200.000 22982400.000 24733440.000 24733440.000 24733440.000 24791040.000 24791040.000 24848640.000 24848640.000 24894720.000 24894720.000 22049280.000 24963840.000 22867200.000 24963840.000 25009920.000 25009920.000 25067520.000 25067520.000 25125120.000 25125120.000 25182720.000 25228800.000 25228800.000 25286400.000 25286400.000 25344000.000 25344000.000 25401600.000 25401600.000 25459200.000 25459200.000 181728000.000 181313280.000 181347840.000 181739520.000 181739520.000 181728000.000 181739520.000 181728000.000 4539098880.000
24756480.000 24641280.000 24641280.000 24641280.000 24629760.000 24629760.000 24652800.000 24687360.000 24687360.000 24687360.000 24687360.000 24687360.000 24744960.000 24744960.000 24768000.000 24744960.000 24768000.000 24802560.000 24802560.000 24860160.000 24802560.000 24802560.000 24860160.000 24860160.000 24883200.000 24860160.000 24883200.000 24917760.000 24917760.000 24952320.000 24606720.000 24952320.000 24975360.000 24975360.000 24560640.000 24975360.000 22636800.000 24998400.000 25032960.000 24399360.000 25067520.000 25032960.000 25090560.000 24215040.000 25159680.000 25102080.000 25159680.000 24134400.000 24076800.000 25205760.000 24572160.000 25171200.000 25205760.000 24641280.000 22521600.000 25274880.000 25274880.000 25217280.000 25274880.000 25274880.000 25320960.000 25320960.000 22878720.000 25320960.000 22014720.000 25320960.000 25332480.000 25390080.000 25390080.000 25390080.000 25436160.000 23270400.000 25436160.000 25436160.000 25436160.000 25505280.000 25505280.000 25505280.000 25505280.000 25505280.000 25551360.000 25551360.000 25551360.000 25551360.000 25632000.000 25632000.000 25620480.000 25620480.000 25666560.000 25666560.000 25666560.000 25666560.000 22176000.000 25747200.000 25747200.000 25747200.000 23408640.000 24030720.000 25781760.000 25781760.000 25781760.000 25862400.000 25862400.000 25885440.000 25885440.000 25977600.000 25977600.000 23097600.000 26000640.000 23938560.000 26000640.000 26092800.000 26092800.000 26115840.000 26115840.000 26208000.000 26208000.000 26231040.000 26323200.000 26323200.000 26346240.000 26346240.000 26438400.000 26438400.000 26461440.000 26461440.000 26553600.000 26553600.000 181670400.000 181324800.000 181428480.000 181658880.000 181658880.000 181670400.000 181658880.000 181670400.000 4672131840.000
25804800.000 25678080.000 25678080.000 25678080.000 25678080.000 25678080.000 25712640.000 25747200.000 25747200.000 25747200.000 25747200.000 25747200.000 25793280.000 25793280.000 25839360.000 25793280.000 25839360.000 25862400.000 25862400.000 25908480.000 25862400.000 25862400.000 25908480.000 25908480.000 25954560.000 25908480.000 25954560.000 25977600.000 25977600.000 25989120.000 25632000.000 25989120.000 26035200.000 26035200.000 25608960.000 26035200.000 23754240.000 26092800.000 26092800.000 25424640.000 26115840.000 26092800.000 26161920.000 25251840.000 26208000.000 26184960.000 26208000.000 25159680.000 25090560.000 26288640.000 24088320.000 26208000.000 26288640.000 24099840.000 23627520.000 26323200.000 26323200.000 26323200.000 26323200.000 26323200.000 26415360.000 26415360.000 23984640.000 26415360.000 23097600.000 26415360.000 26438400.000 26438400.000 26438400.000 26438400.000 26553600.000 24307200.000 26553600.000 26553600.000 26553600.000 26553600.000 26553600.000 26553600.000 26553600.000 26553600.000 26668800.000 26668800.000 26668800.000 26668800.000 26668800.000 26668800.000 26668800.000 26668800.000 26784000.000 26784000.000 26784000.000 26784000.000 23316480.000 26784000.000 26784000.000 26784000.000 24422400.000 25044480.000 26899200.000 26899200.000 26899200.000 26899200.000 26899200.000 27014400.000 27014400.000 27025920.000 27025920.000 24180480.000 27129600.000 24940800.000 27129600.000 27152640.000 27152640.000 27244800.000 27244800.000 27290880.000 27290880.000 27360000.000 27440640.000 27440640.000 27463680.000 27463680.000 27544320.000 27544320.000 27578880.000 27578880.000 27648000.000 27648000.000 181624320.000 181082880.000 181244160.000 181635840.000 181635840.000 181624320.000 181624320.000 181624320.000 4805579520.000
26899200.000 26784000.000 26784000.000 26784000.000 26784000.000 26784000.000 26784000.000 26807040.000 26807040.000 26807040.000 26807040.000 26807040.000 26899200.000 26899200.000 26899200.000 26899200.000 26899200.000 26945280.000 26945280.000 27014400.000 26945280.000 26945280.000 27014400.000 27014400.000 27014400.000 27014400.000 27014400.000 27129600.000 27129600.000 27129600.000 26749440.000 27129600.000 27129600.000 27129600.000 26668800.000 27129600.000 24779520.000 27129600.000 27233280.000 26530560.000 27244800.000 27233280.000 27244800.000 26323200.000 27348480.000 27244800.000 27348480.000 26208000.000 26173440.000 27360000.000 26634240.000 27348480.000 27360000.000 26634240.000 24641280.000 27452160.000 27452160.000 27360000.000 27452160.000 27452160.000 27475200.000 27475200.000 24998400.000 27475200.000 24168960.000 27475200.000 27544320.000 27567360.000 27567360.000 27567360.000 27601920.000 25344000.000 27601920.000 27601920.000 27601920.000 27671040.000 27671040.000 27671040.000 27671040.000 27671040.000 27751680.000 27751680.000 27751680.000 27751680.000 27774720.000 27774720.000 27774720.000 27774720.000 27855360.000 27855360.000 27855360.000 27855360.000 24330240.000 27889920.000 27889920.000 27889920.000 25459200.000 26092800.000 27959040.000 27959040.000 27959040.000 27993600.000 27993600.000 28051200.000 28051200.000 28108800.000 28108800.000 25205760.000 28154880.000 25977600.000 28154880.000 28212480.000 28212480.000 28258560.000 28258560.000 28316160.000 28316160.000 28362240.000 28431360.000 28431360.000 28465920.000 28465920.000 28523520.000 28523520.000 28569600.000 28569600.000 28638720.000 28638720.000 181612800.000 180875520.000 180875520.000 181601280.000 181601280.000 181601280.000 181612800.000 181601280.000 4945271040.000
27970560.000 27866880.000 27866880.000 27866880.000 27866880.000 27866880.000 27878400.000 27889920.000 27889920.000 27889920.000 27889920.000 27889920.000 27970560.000 27970560.000 27982080.000 27970560.000 27993600.000 28005120.000 28005120.000 28074240.000 28005120.000 28005120.000 28074240.000 28074240.000 28097280.000 28074240.000 28097280.000 28120320.000 28120320.000 28143360.000 27797760.000 28143360.000 28177920.000 28177920.000 27774720.000 28177920.000 25839360.000 28212480.000 28224000.000 27590400.000 28247040.000 28224000.000 28293120.000 27440640.000 28339200.000 28293120.000 28339200.000 27348480.000 27244800.000 28385280.000 27705600.000 28350720.000 28385280.000 27717120.000 25689600.000 28454400.000 28454400.000 28408320.000 28454400.000 28454400.000 28500480.000 28500480.000 26092800.000 28500480.000 25194240.000 28500480.000 28523520.000 28558080.000 28558080.000 28558080.000 28592640.000 26438400.000 28592640.000 28592640.000 28592640.000 28673280.000 28673280.000 28673280.000 28673280.000 28673280.000 28707840.000 28707840.000 28707840.000 28707840.000 28776960.000 28776960.000 28776960.000 28776960.000 28823040.000 28823040.000 28823040.000 28823040.000 25367040.000 28892160.000 28892160.000 28892160.000 26553600.000 27233280.000 28926720.000 28926720.000 28926720.000 28995840.000 28995840.000 29041920.000 29041920.000 29099520.000 29099520.000 26300160.000 29145600.000 27129600.000 29145600.000 29203200.000 29203200.000 29260800.000 29260800.000 29306880.000 29306880.000 29364480.000 29422080.000 29422080.000 29479680.000 29479680.000 29525760.000 29525760.000 29583360.000 29583360.000 29640960.000 29640960.000 181589760.000 180817920.000 180864000.000 181601280.000 181601280.000 181601280.000 181601280.000 181601280.000 5076748800.000
28938240.000 28823040.000 28823040.000 28823040.000 28823040.000 28823040.000 28857600.000 28892160.000 28892160.000 28892160.000 28892160.000 28892160.000 28938240.000 28938240.000 28972800.000 28938240.000 28972800.000 29007360.000 29007360.000 29053440.000 29007360.000 29007360.000 29053440.000 29053440.000 29088000.000 29053440.000 29088000.000 29122560.000 29122560.000 29145600.000 28800000.000 29145600.000 29168640.000 29168640.000 28776960.000 29157120.000 26899200.000 29191680.000 29226240.000 28592640.000 29249280.000 29226240.000 29272320.000 28442880.000 29341440.000 29283840.000 29341440.000 28339200.000 28293120.000 29387520.000 28684800.000 29352960.000 29387520.000 28753920.000 26784000.000 29456640.000 29456640.000 29399040.000 29456640.000 29456640.000 29502720.000 29502720.000 27129600.000 29502720.000 26254080.000 29502720.000 29514240.000 29571840.000 29571840.000 29571840.000 29617920.000 27544320.000 29617920.000 29617920.000 29617920.000 29675520.000 29675520.000 29675520.000 29675520.000 29675520.000 29733120.000 29733120.000 29733120.000 29733120.000 29790720.000 29790720.000 29790720.000 29790720.000 29848320.000 29848320.000 29848320.000 29848320.000 26438400.000 29894400.000 29894400.000 29894400.000 27648000.000 28235520.000 29952000.000 29952000.000 29952000.000 30009600.000 30009600.000 30067200.000 30067200.000 30124800.000 30124800.000 27360000.000 30182400.000 28131840.000 30182400.000 30240000.000 30240000.000 30286080.000 30286080.000 30355200.000 30355200.000 30401280.000 30470400.000 30470400.000 30504960.000 30504960.000 30585600.000 30585600.000 30620160.000 30620160.000 30700800.000 30700800.000 181520640.000 180794880.000 180829440.000 181520640.000 181509120.000 181520640.000 181509120.000 181520640.000 5205715200.000
