-nan -nan
0.509 0.504
0.551 0.557
0.617 0.610
0.669 0.651
0.678 0.684
0.687 0.688
0.703 0.701
0.709 0.708
0.709 0.710
0.711 0.710
0.710 0.710
0.712 0.713
0.714 0.713
0.718 0.719
0.723 0.722
0.685 0.695
0.654 0.618
0.615 0.642
0.618 0.620
0.620 0.620
0.619 0.619
0.620 0.618
0.616 0.616
0.615 0.615
0.620 0.618
0.621 0.623
0.629 0.629
0.645 0.644
0.616 0.616
0.605 0.606
0.602 0.600
0.579 0.581
0.582 0.582
0.554 0.554
0.536 0.522
0.531 0.553
0.528 0.530
0.522 0.520
0.520 0.521
0.520 0.518
0.523 0.518
0.490 0.494
0.501 0.496
0.495 0.498
0.496 0.498
0.497 0.498
0.485 0.474
0.477 0.483
0.440 0.446
0.436 0.436
0.482 0.488
0.521 0.522
0.526 0.527
0.530 0.529
0.533 0.531
0.537 0.536
0.543 0.544
0.553 0.553
0.568 0.566
0.589 0.589
0.620 0.618
0.632 0.609
0.600 0.623
0.618 0.606
0.575 0.589
0.579 0.575
0.546 0.548
0.535 0.541
0.532 0.537
0.522 0.517
0.523 0.521
0.506 0.509
0.526 0.530
0.510 0.511
0.588 0.590
0.606 0.605
0.618 0.607
0.635 0.654
0.654 0.653
0.645 0.642
0.635 0.619
0.600 0.615
0.621 0.624
0.627 0.624
0.631 0.634
0.640 0.637
0.648 0.649
0.630 0.616
0.599 0.604
0.617 0.627
0.633 0.624
0.615 0.623
0.614 0.616
0.596 0.586
0.573 0.563
0.570 0.594
0.572 0.575
0.571 0.552
