-nan -nan
0.986 0.980
0.942 0.948
0.956 0.967
0.975 0.963
0.967 0.968
0.958 0.954
0.960 0.962
0.959 0.962
0.962 0.961
0.956 0.956
0.964 0.965
0.964 0.964
0.963 0.963
0.957 0.957
0.966 0.966
0.969 0.968
0.955 0.957
0.956 0.956
0.962 0.962
0.963 0.964
0.963 0.963
0.953 0.954
0.964 0.964
0.963 0.963
0.957 0.957
0.955 0.959
0.967 0.967
0.967 0.966
0.954 0.953
0.959 0.960
0.952 0.953
0.959 0.959
0.949 0.951
0.958 0.958
0.954 0.954
0.951 0.951
0.952 0.950
0.955 0.954
0.954 0.950
0.954 0.956
0.956 0.957
0.954 0.954
0.957 0.957
0.953 0.953
0.954 0.954
0.957 0.957
0.952 0.952
0.955 0.953
0.956 0.956
0.955 0.954
0.957 0.954
0.955 0.957
0.956 0.957
0.954 0.954
0.954 0.955
0.957 0.956
0.951 0.956
0.955 0.955
0.955 0.959
0.955 0.955
0.956 0.956
0.955 0.952
0.955 0.958
0.955 0.955
0.955 0.951
0.953 0.956
0.952 0.954
0.950 0.954
0.956 0.956
0.951 0.955
0.956 0.956
0.958 0.958
0.955 0.955
0.954 0.955
0.954 0.955
0.958 0.957
0.950 0.951
0.951 0.954
0.956 0.958
0.953 0.953
0.957 0.956
0.956 0.957
0.956 0.954
0.954 0.956
0.955 0.955
0.956 0.953
0.951 0.953
0.950 0.952
0.953 0.953
0.953 0.953
0.955 0.955
0.956 0.954
0.956 0.955
0.954 0.955
0.952 0.953
0.957 0.955
0.949 0.952
0.950 0.951
