-nan -nan
0.971 0.973
0.959 0.956
0.690 0.690
0.885 0.927
0.935 0.939
0.966 0.965
0.962 0.969
0.939 0.938
0.957 0.956
0.953 0.954
0.969 0.970
0.972 0.973
0.966 0.969
0.952 0.955
0.963 0.964
0.957 0.959
0.971 0.971
0.969 0.969
0.958 0.957
0.965 0.965
0.945 0.946
0.969 0.970
0.970 0.970
0.947 0.947
0.961 0.961
0.951 0.950
0.938 0.936
0.961 0.963
0.951 0.951
0.958 0.958
0.953 0.952
0.948 0.948
0.959 0.959
0.965 0.965
0.962 0.962
0.947 0.947
0.953 0.953
0.955 0.954
0.962 0.963
0.957 0.960
0.946 0.950
0.958 0.959
0.956 0.956
0.957 0.958
0.952 0.953
0.951 0.952
0.968 0.968
0.959 0.960
0.953 0.953
0.950 0.951
0.953 0.955
0.961 0.956
0.953 0.959
0.946 0.953
0.949 0.956
0.954 0.954
0.962 0.962
0.959 0.959
0.947 0.948
0.951 0.953
0.955 0.956
0.961 0.961
0.959 0.960
0.948 0.948
0.951 0.952
0.954 0.955
0.963 0.963
0.958 0.958
0.953 0.953
0.956 0.957
0.955 0.955
0.956 0.956
0.955 0.956
0.950 0.950
0.958 0.958
0.958 0.958
0.950 0.951
0.949 0.953
0.951 0.956
0.962 0.962
0.960 0.959
0.946 0.946
0.947 0.947
0.953 0.954
0.964 0.965
0.957 0.957
0.947 0.954
0.943 0.950
0.957 0.958
0.964 0.964
0.957 0.958
0.947 0.949
0.952 0.954
0.958 0.959
0.966 0.965
0.958 0.959
0.951 0.953
0.949 0.952
