nan nan
0.940 0.933
0.938 0.939
0.908 0.908
0.836 0.839
0.817 0.821
0.579 0.591
0.747 0.737
0.773 0.777
0.751 0.751
0.699 0.694
0.749 0.734
0.694 0.693
0.664 0.670
0.650 0.644
0.637 0.632
0.643 0.646
0.639 0.642
0.642 0.639
0.608 0.617
0.627 0.628
0.614 0.627
0.648 0.646
0.593 0.609
0.608 0.616
0.543 0.540
0.185 0.187
0.562 0.551
0.631 0.642
0.678 0.671
0.727 0.725
0.653 0.654
0.651 0.660
0.728 0.701
0.720 0.728
0.676 0.687
0.632 0.614
0.607 0.625
0.608 0.607
0.586 0.589
0.570 0.566
0.576 0.571
0.629 0.641
0.662 0.675
0.648 0.636
0.650 0.665
0.703 0.697
0.701 0.697
0.638 0.634
0.677 0.677
0.721 0.722
0.629 0.638
0.553 0.552
0.569 0.569
0.557 0.548
0.494 0.509
0.630 0.627
0.641 0.639
0.597 0.597
0.584 0.591
0.635 0.599
0.623 0.635
0.686 0.697
0.648 0.644
0.625 0.608
0.646 0.651
0.641 0.654
0.633 0.634
0.586 0.575
0.597 0.606
0.650 0.644
0.671 0.669
0.675 0.682
0.643 0.654
0.653 0.635
0.647 0.652
0.648 0.661
0.674 0.664
0.676 0.671
0.687 0.681
0.699 0.711
0.695 0.680
0.660 0.661
0.599 0.608
0.613 0.628
0.693 0.687
0.613 0.617
0.662 0.670
0.672 0.663
0.707 0.695
0.666 0.673
0.675 0.652
0.718 0.724
0.677 0.682
0.676 0.678
0.662 0.657
0.609 0.607
0.338 0.346
0.587 0.606
