-nan -nan
0.645 0.602
0.177 0.206
0.200 0.183
0.150 0.164
0.149 0.137
0.127 0.143
0.132 0.118
0.113 0.123
0.113 0.116
0.114 0.114
0.112 0.112
0.110 0.110
0.108 0.108
0.105 0.105
0.103 0.103
0.103 0.102
0.104 0.100
0.100 0.099
0.098 0.100
0.098 0.100
0.098 0.099
0.098 0.098
0.098 0.097
0.098 0.096
0.098 0.097
0.097 0.098
0.093 0.098
0.097 0.098
0.098 0.098
0.097 0.091
0.094 0.096
0.094 0.097
0.097 0.095
0.094 0.092
0.092 0.096
0.096 0.091
0.090 0.095
0.096 0.094
0.090 0.091
0.096 0.094
0.089 0.090
0.095 0.091
0.089 0.093
0.095 0.089
0.089 0.095
0.089 0.089
0.094 0.089
0.088 0.093
0.088 0.089
0.088 0.088
0.094 0.088
0.088 0.090
0.088 0.093
0.088 0.088
0.088 0.088
0.087 0.087
0.087 0.087
0.087 0.087
0.087 0.087
0.087 0.086
0.086 0.086
0.086 0.086
0.086 0.086
0.086 0.086
0.085 0.085
0.085 0.085
0.085 0.085
0.085 0.081
0.084 0.084
0.080 0.084
0.084 0.084
0.083 0.083
0.083 0.079
0.080 0.083
0.082 0.083
0.083 0.082
0.081 0.080
0.081 0.083
0.082 0.080
0.078 0.081
0.082 0.082
0.081 0.078
0.078 0.081
0.081 0.077
0.077 0.081
0.081 0.077
0.077 0.081
0.081 0.077
0.077 0.081
0.077 0.077
0.081 0.079
0.077 0.078
0.079 0.077
0.078 0.080
0.076 0.077
0.076 0.076
0.079 0.076
0.076 0.079
