0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
13478400.000 13593600.000 11520000.000 2868480.000 2983680.000 12695040.000 8444160.000 7349760.000 2545920.000 2257920.000 77736960.000
13674240.000 14215680.000 14526720.000 16289280.000 16139520.000 13409280.000 8144640.000 8674560.000 2891520.000 3052800.000 111018240.000
9365760.000 9907200.000 12533760.000 21093120.000 14653440.000 9319680.000 5610240.000 7752960.000 3156480.000 2949120.000 96341760.000
7879680.000 10471680.000 10056960.000 29583360.000 12545280.000 7626240.000 4919040.000 6888960.000 3191040.000 3248640.000 96410880.000
7580160.000 10195200.000 10045440.000 30470400.000 12142080.000 7626240.000 4942080.000 6693120.000 3375360.000 3306240.000 96376320.000
7257600.000 9515520.000 9515520.000 32394240.000 11761920.000 7096320.000 4515840.000 6289920.000 4032000.000 3985920.000 96364800.000
6589440.000 9561600.000 9515520.000 28880640.000 12199680.000 7246080.000 4642560.000 6393600.000 5610240.000 5702400.000 96341760.000
6163200.000 9953280.000 9504000.000 23662080.000 11266560.000 7050240.000 5149440.000 6301440.000 8559360.000 8778240.000 96387840.000
5460480.000 8663040.000 8190720.000 19722240.000 10091520.000 6312960.000 6289920.000 5978880.000 13086720.000 12499200.000 96295680.000
5598720.000 7176960.000 6048000.000 13547520.000 7441920.000 4907520.000 8547840.000 6508800.000 18144000.000 18432000.000 96353280.000
5483520.000 7326720.000 5391360.000 9964800.000 6497280.000 4216320.000 8087040.000 5414400.000 26196480.000 17821440.000 96399360.000
6359040.000 5276160.000 6451200.000 8570880.000 6163200.000 4354560.000 8455680.000 5448960.000 28604160.000 16727040.000 96410880.000
6600960.000 5137920.000 6048000.000 8455680.000 6428160.000 4838400.000 8087040.000 5299200.000 29802240.000 15655680.000 96353280.000
7637760.000 4838400.000 5725440.000 8064000.000 6001920.000 4561920.000 7822080.000 5160960.000 30458880.000 16081920.000 96353280.000
8421120.000 4838400.000 5333760.000 8064000.000 5080320.000 4469760.000 7706880.000 4838400.000 31991040.000 15644160.000 96387840.000
7741440.000 5218560.000 4930560.000 8064000.000 4919040.000 4688640.000 7706880.000 5230080.000 32394240.000 15494400.000 96387840.000
7303680.000 6382080.000 3790080.000 7280640.000 5760000.000 4481280.000 7200000.000 5034240.000 33085440.000 16058880.000 96376320.000
7718400.000 6762240.000 3847680.000 6289920.000 5806080.000 5045760.000 7476480.000 4320000.000 32497920.000 16623360.000 96387840.000
7292160.000 7303680.000 3790080.000 4999680.000 5817600.000 5103360.000 8006400.000 3778560.000 31852800.000 17948160.000 95892480.000
6508800.000 7706880.000 3686400.000 3882240.000 5541120.000 4504320.000 7729920.000 4135680.000 32832000.000 20321280.000 96848640.000
7418880.000 7591680.000 4481280.000 2787840.000 5552640.000 4515840.000 5114880.000 3594240.000 35435520.000 19895040.000 96387840.000
7799040.000 6209280.000 5748480.000 2856960.000 6209280.000 3859200.000 4930560.000 3767040.000 38396160.000 16600320.000 96376320.000
