0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
449280.000 345600.000 334080.000 264960.000 44916480.000 43015680.000 22694400.000 11082240.000 10103040.000 9964800.000 9561600.000 9158400.000 9077760.000 9031680.000 29283840.000 209283840.000
218880.000 518400.000 149760.000 69120.000 48026880.000 47208960.000 20494080.000 11923200.000 10886400.000 10886400.000 10344960.000 9699840.000 10195200.000 10805760.000 58901760.000 250329600.000
460800.000 1382400.000 311040.000 403200.000 44064000.000 49443840.000 15943680.000 11658240.000 10644480.000 10644480.000 10160640.000 10725120.000 11784960.000 12026880.000 93519360.000 283173120.000
760320.000 1232640.000 368640.000 288000.000 40366080.000 53648640.000 15033600.000 11923200.000 10886400.000 10805760.000 10137600.000 10644480.000 12165120.000 12384000.000 94176000.000 284820480.000
622080.000 449280.000 656640.000 195840.000 40458240.000 53890560.000 14987520.000 11819520.000 10644480.000 10725120.000 10368000.000 10886400.000 12441600.000 12441600.000 94406400.000 284993280.000
737280.000 587520.000 875520.000 115200.000 40469760.000 53360640.000 14745600.000 11761920.000 10886400.000 10886400.000 10368000.000 10863360.000 12176640.000 12165120.000 94014720.000 284014080.000
622080.000 149760.000 725760.000 380160.000 42382080.000 52243200.000 15033600.000 11923200.000 10886400.000 10886400.000 10264320.000 10667520.000 12430080.000 12510720.000 94567680.000 285672960.000
357120.000 195840.000 944640.000 645120.000 41368320.000 52611840.000 14699520.000 11658240.000 10644480.000 10644480.000 10241280.000 10886400.000 12441600.000 12844800.000 94176000.000 284359680.000
195840.000 552960.000 691200.000 587520.000 41587200.000 52819200.000 15033600.000 11923200.000 10886400.000 10736640.000 10137600.000 10644480.000 12165120.000 12787200.000 94429440.000 285177600.000
115200.000 541440.000 840960.000 852480.000 40803840.000 53015040.000 14699520.000 11658240.000 10644480.000 10794240.000 10368000.000 10840320.000 12165120.000 12672000.000 94003200.000 284014080.000
230400.000 576000.000 875520.000 875520.000 43879680.000 50008320.000 14722560.000 11658240.000 10644480.000 10644480.000 10137600.000 10690560.000 12441600.000 12960000.000 93853440.000 284198400.000
345600.000 599040.000 472320.000 1025280.000 47496960.000 46033920.000 14929920.000 11658240.000 10644480.000 10644480.000 10137600.000 10644480.000 12165120.000 12672000.000 93726720.000 283196160.000
207360.000 506880.000 253440.000 829440.000 46402560.000 48130560.000 14780160.000 11923200.000 10886400.000 10886400.000 10368000.000 10863360.000 12165120.000 12672000.000 94625280.000 285500160.000
276480.000 276480.000 46080.000 80640.000 47128320.000 48384000.000 15033600.000 11923200.000 10886400.000 10886400.000 10368000.000 10909440.000 12533760.000 12960000.000 95489280.000 287182080.000
587520.000 345600.000 161280.000 437760.000 49570560.000 45596160.000 15033600.000 11923200.000 10886400.000 10886400.000 10368000.000 10771200.000 12349440.000 12960000.000 95258880.000 287136000.000
1048320.000 149760.000 599040.000 92160.000 49559040.000 44824320.000 14987520.000 11796480.000 10644480.000 10644480.000 10137600.000 10759680.000 12441600.000 12960000.000 94487040.000 285131520.000
1071360.000 149760.000 737280.000 495360.000 49017600.000 44789760.000 14745600.000 11784960.000 10886400.000 10782720.000 10137600.000 10644480.000 12165120.000 12672000.000 93876480.000 283956480.000
656640.000 230400.000 587520.000 460800.000 51045120.000 43200000.000 14699520.000 11658240.000 10644480.000 10748160.000 10368000.000 10886400.000 12441600.000 12810240.000 94417920.000 284855040.000
1013760.000 253440.000 1002240.000 264960.000 48913920.000 44824320.000 14987520.000 11704320.000 10644480.000 10644480.000 10137600.000 10644480.000 12165120.000 12821760.000 89775360.000 279797760.000
