-nan -nan
0.628 0.412
0.721 0.780
0.608 0.630
0.574 0.566
0.634 0.633
0.643 0.655
0.681 0.670
0.771 0.776
0.875 0.870
0.949 0.948
0.944 0.945
0.938 0.939
0.954 0.954
0.958 0.958
0.953 0.953
0.947 0.947
0.934 0.935
0.915 0.917
0.860 0.860
0.842 0.837
0.834 0.835
0.800 0.801
0.777 0.777
0.754 0.756
0.715 0.714
0.707 0.714
0.678 0.678
0.691 0.688
0.711 0.714
0.698 0.698
0.665 0.667
0.829 0.817
0.932 0.935
0.933 0.934
0.867 0.866
0.843 0.848
0.923 0.923
0.898 0.899
0.734 0.741
0.674 0.669
0.595 0.599
0.513 0.508
0.455 0.457
0.382 0.385
0.350 0.346
0.414 0.423
0.426 0.422
0.453 0.453
0.551 0.541
0.615 0.615
0.796 0.797
0.772 0.778
0.760 0.760
0.782 0.774
0.819 0.821
0.854 0.856
0.873 0.869
0.874 0.876
0.886 0.884
0.853 0.850
0.812 0.816
0.784 0.788
0.720 0.717
0.669 0.671
0.678 0.674
0.681 0.681
0.690 0.687
0.710 0.719
0.793 0.790
0.850 0.842
0.751 0.748
0.687 0.700
0.802 0.794
0.775 0.775
0.852 0.852
0.829 0.835
0.837 0.832
0.839 0.843
0.715 0.722
0.497 0.492
0.426 0.423
0.399 0.398
0.392 0.392
0.441 0.438
0.590 0.589
0.670 0.667
0.682 0.692
0.718 0.713
0.718 0.715
0.767 0.765
0.806 0.807
0.828 0.829
0.845 0.840
0.855 0.862
0.856 0.854
0.861 0.859
0.879 0.878
0.872 0.871
